,0
Male population 70-74,1.6921548814647098
Female population 40-44,1.6241173524393486
"Population ages 65 and above, male",1.6048548210864806
"Population ages 65 and above, total",1.5443516069221612
Male population 50-54,1.5152037287606923
Female population 35-39,1.5131155858864396
Female population 45-49,1.4828212611315323
"Population ages 65 and above, female",1.4764737091888942
Urban population,1.446481719625043
"Age population, age 01, male, interpolated",1.445412675583194
"Age population, age 01, female, interpolated",1.4396109699788568
Female population 00-04,1.4389705875591734
Male population 00-04,1.4366750540429414
Male population 75-79,1.4229895038272016
"Age population, age 02, male, interpolated",1.422279666361839
Female population 50-54,1.4214851547527552
"Age population, age 03, female, interpolated",1.4183615629858635
"Age population, age 02, female, interpolated",1.4153683412257245
"Age population, age 03, male, interpolated",1.4034853645655472
Female population 30-34,1.4016491776850268
"Labor force, female",1.4016120552048856
Male population 55-59,1.3926010374726805
Male population 45-49,1.3902419144008138
"Population ages 65 and above, female (% of total)",1.3813071843897964
"Population ages 15-64, female",1.3779107283992382
"Age population, age 0, male, interpolated",1.3666387060149963
Male population 80+,1.3622058862468087
"Age population, age 0, female, interpolated",1.3585135813271734
"Population ages 75-79, female (% of female population)",1.3421279919350666
Male population 65-69,1.3392060764350187
Male population 40-44,1.3352715633996277
Female population 55-59,1.3335226090590675
"Age population, age 04, male, interpolated",1.316546977419836
Female population 60-64,1.3120674090463917
Population ages 65 and above (% of total),1.3101514193020272
"Age population, age 14, female, interpolated",1.3088435618614895
"Age population, age 13, female, interpolated",1.3081375763633758
"Age population, age 04, female, interpolated",1.3057915167274008
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.2979266589880907
"Age population, age 13, male, interpolated",1.2916941577706185
"Age population, age 14, male, interpolated",1.2915277288297116
Male population 60-64,1.2887279709521966
"Population ages 65 and above, male (% of total)",1.2869279220358543
Adults (ages 15+) living with HIV,1.2852380302560644
"Population ages 15-64, total",1.2844014277951785
"Age population, age 11, male, interpolated",1.2818770548776268
"Age population, age 15, female, interpolated",1.2796247783870807
"Age population, age 12, male, interpolated",1.2786832179634597
Male population 10-14,1.277431210781002
Female population 70-74,1.2730360912053849
Female population 10-14,1.2712697682873695
Adults (ages 15+) and children (0-14 years) living with HIV,1.2687675491883958
"Population ages 00-14, female (% of total)",1.2676755227355732
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.266985064011124
"Population ages 05-09, female (% of female population)",1.265774527980546
"Population ages 80 and older, male (% of male population)",1.2636450729718174
"Population ages 00-04, female (% of female population)",1.2602189021106989
"Age population, age 12, female, interpolated",1.2599841349475513
"Age population, age 11, female, interpolated",1.2572180640585355
Female population 80+,1.2491757810118767
Population ages 00-14 (% of total),1.247738773897896
Population ages 0-14 (% of total),1.247738773897896
Female population 65-69,1.2439583643163004
"Labor force, total",1.2422584009087911
"Age population, age 10, male, interpolated",1.2407092619321969
"Population ages 15-64, male",1.2355305015569376
"Age population, age 05, female, interpolated",1.228545484770409
"Mortality rate, under-5 (per 1,000 live births)",1.2267928773820076
"Mortality rate, under-5 (per 1,000)",1.2266441512248778
"Age population, age 10, female, interpolated",1.224891460919018
"Age population, age 15, male, interpolated",1.2204838775782232
"Age population, age 05, male, interpolated",1.2152520027352196
Urban population (% of total),1.2111661683097035
Rural population (% of total population),1.2111661683097035
"Population ages 45-49, male (% of male population)",1.2093312884846799
Female population 25-29,1.2028522472715404
"Population ages 75-79, male (% of male population)",1.1976669973635068
Male population 25-29,1.1970950495942867
Male population 35-39,1.1963321664402744
"Population ages 35-39, female (% of female population)",1.1948302351722337
Female population 75-79,1.1926990196388387
"Mortality rate, infant (per 1,000 live births)",1.1914596873031296
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1888000439400637
"Age population, age 09, male, interpolated",1.184770477284222
"Age population, age 16, female, interpolated",1.1807615289610274
Male population 30-34,1.1803250487802335
"Age population, age 09, female, interpolated",1.1746338843449984
"Age population, age 06, male, interpolated",1.1736772859314426
"Population ages 70-74, female (% of female population)",1.1735529716353672
"Age population, age 06, female, interpolated",1.170920615111968
"Age population, age 16, male, interpolated",1.1616541871343236
"Population ages 0-14, male",1.151814844351572
Prevalence of anemia among children (% of children under 5),1.1502502087030146
"Population ages 00-14, total",1.147092999129618
"Population ages 0-14, female",1.1448698907720554
"Age dependency ratio, young",1.1444826391219967
"Population ages 70-74, male (% of male population)",1.1407961787022258
CO2 emissions (kt),1.1370720080705574
Female population 05-09,1.1367791285946522
"Age population, age 08, female, interpolated",1.1361388271635555
"Age population, age 08, male, interpolated",1.1338636526844885
"Population ages 00-14, male (% of total)",1.1265858356386034
Male population 05-09,1.1155223481865013
Adults (ages 15+) newly infected with HIV,1.114137574015966
"Population ages 15-64, female (% of total)",1.1117298753039735
"Population ages 65-69, female (% of female population)",1.1094145386581058
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1.1071182597912066
"Age population, age 07, female, interpolated",1.1069479188655043
"Age population, age 07, male, interpolated",1.103167656279067
"Population, female",1.102062793411446
"Population ages 30-34, male (% of male population)",1.0989363019396388
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.0969130503718274
"Age population, age 17, female, interpolated",1.0894936154505312
"GNI per capita, PPP (current international $)",1.0888742096767983
"Population ages 40-44, male (% of male population)",1.0583491875039157
Female population 15-19,1.0582531201045984
"Population ages 65-69, male (% of male population)",1.0577368876588746
"Population ages 50-54, male (% of male population)",1.0563921041682796
"Population ages10-14, male (% of male population)",1.055803712977459
"Mortality rate, neonatal (per 1,000 live births)",1.0536601331789406
"Age population, age 17, male, interpolated",1.052606210509624
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.0497446940584534
"Population ages 10-14, female (% of female population)",1.0464636313167128
Male population 15-19,1.0357048526778156
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.03404294025053
"Population ages 00-04, male (% of male population)",1.0310239396516327
Fixed telephone subscriptions (per 100 people),1.0226673399755444
"Population ages 80 and older, female (% of female population)",1.0215308220475028
"Population ages 05-09, male (% of male population)",1.0139207825865388
